,0,1
aliyun/aliyun-log-logback-appender,0.0,0.0
dualface/cocos2d-x-extensions,0.2,1.0
leeenx/snake,0.0,0.0
tmaccs/JD_miaosha,0.0,0.0
mlazarov/ddos-stress,0.2,1.0
ctripcorp/nephele,0.0,0.0
yqyao/SSD_Pytorch,0.05,0.03333333333333333
iyzico/iyzipay-node,0.35333333333333333,0.1
geeknam/messengerbot,0.05,0.0625
yuxiaowww/BDCI-2018-Supply-Chain-Demand-Forecast,0.0,0.0
pires/kubernetes-elk-cluster,0.0,0.0
googlearchive/android-VideoPlayer,0.0,0.0
mitchtabian/TabianCustomCamera,0.0,0.0
q7164518/SqlSugar.Tools,0.0,0.0
eugener/oxbow,0.27999999999999997,0.06666666666666667
brendankenny/CanvasLayer,0.0,0.0
infowangxin/springmvc,0.0,0.0
screepers/typed-screeps,0.3333333333333333,0.06000000000000001
kmadac/bitstamp-python-client,0.16666666666666666,0.08571428571428572
electric-monk/360Controller,0.0,0.0
bitcoinjs/bip38,0.25,0.0625
jimoyong/CoreMailUploadRce,0.0,0.0
bizz84/firebase_user_avatar_flutter,0.0,0.0
mgufrone/cpanel-php,0.05,0.03333333333333333
clMathLibraries/clSPARSE,0.2,0.02222222222222222
xuningjack/verticaltextview,0.0,0.0
qiuzi/dns2socks,0.0,0.0
rednez/angular-user-idle,0.3333333333333333,0.05454545454545454
soapisnotfat/pytorch-cifar10,0.1,0.03333333333333333
amitbansal7/Data-Structures-and-Algorithms,0.0,0.0
fgrehm/docker-netbeans,0.0,0.0
knowledgearcdotorg/phpblockchain,0.0,0.0
madskristensen/ExtensibilityTools,0.0,0.0
vogievetsky/IntroD3,0.0,0.0
elm/http,0.2866666666666666,0.13333333333333333
yaoyumeng/adore-ng,0.0,0.0
hapijs/basic,0.0,0.0
xhboke/IP,0.0,0.0
unicef/react-org-chart,0.05,0.04
ionic-team/ionic-starter-maps,0.0,0.0
jochenwierum/openvpn-manager,0.2333333333333333,0.08571428571428572
hyperium/hyper-tls,0.0,0.0
stalary/microservice-recruit,0.0,0.0
openresty/openresty-packaging,0.1,0.025
paradoxie/AutoVerticalTextview,0.0,0.0
gsuez/master-bootstrap-3,0.3333333333333333,0.05454545454545454
gaspa93/googlemaps-scraper,0.5,0.3333333333333333
excellalabs/js-best-practices-workshopper,0.2,0.12000000000000002
yyman001/web_js_css_frame,0.0,0.0
raywenderlich/java-style-guide,0.0,0.0
chaokunyang/cloud-shop,0.0,0.0
unfulvio/wp-api-menus,0.1,0.025
mittrees/Treepedia_Public,0.0,0.0
aragon/nest,0.16666666666666666,0.25
suyar/lying-admin,0.0,0.0
gettyimages/spray-swagger,0.4833333333333333,0.15
mbosecke/template-benchmark,0.0,0.0
gregzaal/Auto-Voice-Channels,0.05,0.025
exercism/windows-installer,0.4,0.06000000000000001
Liuguihong/AndroidUVCCamera,0.0,0.0
PiTi2k5/Crypto-Webminer,0.0,0.0
dunwu/algorithm-tutorial,0.0,0.0
miaoerduo/cartoon-cat,0.3333333333333333,0.1111111111111111
amazon-archives/ec2-scheduler,0.0,0.0
shareslake/cardanocli-js,0.4,0.08571428571428572
zseano/JS-Scan,0.0,0.0
openstreetmap/mapnik-stylesheets,0.06666666666666667,0.04
pageauc/motion-track,0.8333333333333333,0.75
jpxue/Overwatch-Aim-Assist,0.5,0.1875
thomseddon/cakephp-oauth-server,0.0,0.0
Azure-Samples/ms-identity-python-webapp,0.2,0.075
DeWizzard/SMS-Bomber,0.0,0.0
microsoft/Windows-appsample-networkhelper,0.0625,0.0625
vlkozlovsky/ansible-cloud-hosting,0.0,0.0
vinothwino/react-boilerplate,0.0,0.0
wzhishen/cracking-the-coding-interview,0.0,0.0
Michael-J-Scofield/discord-anti-spam,0.06666666666666667,0.01818181818181818
dhengyi/ip-proxy-pools-regularly,0.0,0.0
brettwooldridge/HikariCP-benchmark,0.0,0.0
vin-ni/Google-Cloud-Speech-Node-Socket-Playground,0.2,0.04
ViaVersion/ViaRewind,0.71,0.10526315789473684
retme7/CVE-2014-7911_poc,0.0,0.0
legolas140/competitive-data-science-1,0.0,0.0
1044197988/TF.Keras-Commonly-used-models,0.0,0.0
faizalshap/react-native-otp-verify,0.3333333333333333,0.08571428571428572
requirejs/example-jquery-cdn,0.2,1.0
faustbrian-archive/laravel-commentable,0.2,0.02222222222222222
micc83/editTable,0.06666666666666667,0.1111111111111111
phodal/2md,0.0,0.0
yaodi833/trajectory2vec,0.0,0.0
lorenseanstewart/react-controlled-form-components,0.25,1.0
jishi/node-sonos-discovery,0.42000000000000004,0.17142857142857143
PolymerElements/neon-animation,0.3333333333333333,0.1
facebook/grocery-delivery,0.3,0.1
madhanganesh/taskpad,0.25,0.0625
in3rsha/bitcoin-utxo-dump,0.18333333333333335,0.1875
danikf/tik4net,0.4,0.05
phpnode/YiiRedis,0.5,0.1875
huiyan-fe/BMapGLLib,0.06666666666666667,0.1111111111111111
CM2Walki/CSGO,0.14666666666666667,0.12000000000000002
RoyGuanyu/build-scripts-of-ffmpeg-x264-for-android-ndk,0.05,0.0625
Jerady/fontawesomefx-glyphsbrowser,0.4,0.075
ArtemOnigiri/SimpleNN,0.1111111111111111,0.1111111111111111
jasonlong/jasonlong,0.0,0.0
tebjan/Sanford.Multimedia.Midi,0.5,0.1875
chrisriesgo/xamarin-forms-carouselview,0.04,0.03333333333333333
bcbcarl/react-c3js,0.1,0.025
javascript-obfuscator/react-native-obfuscating-transformer,0.27999999999999997,0.08571428571428572
mpgn/CVE-2019-7238,0.0,0.0
xadhoom/mod_bcg729,0.05,0.03333333333333333
webjyh/MPreview.mobile,0.0,0.0
yulonglong/VisuAlgo-List,0.0,0.0
oopww1992/WWSideslipViewController,0.0,0.0
mattzheng/keras-yolov3-KF-objectTracking,0.0,0.0
myleott/ark-twokenize-py,0.0,0.0
