issue,topic
6814,61
6816,60
6825,62
6837,62
6851,8
6852,11
6857,42
6864,44
6867,42
6869,42
6870,49
6873,25
6878,43
6879,42
6880,42
6881,18
6883,1
6885,5
6886,60
6892,42
6905,60
6908,32
6923,42
6930,60
6938,42
6955,60
6973,56
6974,60
6975,37
6985,60
6989,60
6990,60
6995,60
6996,47
6999,42
7006,25
7008,3
7013,60
7017,42
7030,62
7044,62
7046,60
7054,18
7055,43
7058,44
7063,60
7065,11
7066,42
7067,11
7068,11
7069,42
7070,42
7071,43
7072,44
7076,7
7084,61
7085,44
7088,33
7090,7
7097,7
7098,60
7102,42
7103,44
7104,5
7105,18
7106,18
7107,43
7109,44
7110,44
7111,44
7113,33
7115,42
7116,44
7117,42
7120,60
7129,7
7130,43
7132,60
7133,44
7135,60
7136,43
7140,60
7141,44
7144,42
7147,44
7148,60
7149,44
7151,44
7152,42
7153,44
7154,7
7155,60
7156,44
7157,44
7163,51
7164,25
7167,42
7169,42
7172,60
7175,42
7178,42
7181,42
7183,44
7184,60
7189,61
7191,15
7194,43
7196,15
7197,17
7198,15
7200,60
7201,22
7203,15
7204,60
7208,44
7211,32
7212,61
7213,25
7217,22
7219,57
7231,5
7238,11
7242,56
7257,42
7258,42
7280,44
7287,42
7295,42
7299,60
7306,60
7307,42
7308,43
7312,42
7313,42
7316,42
7318,60
7322,42
7323,27
7326,42
7328,42
7333,60
7336,25
7341,9
7343,8
7344,9
7349,9
7350,39
7352,60
7353,42
7354,9
7355,42
7358,42
7359,0
7360,61
7363,42
7364,60
7367,60
7368,60
7370,61
7371,61
7372,60
7373,43
7377,60
7380,60
7382,60
7385,61
7387,60
7388,22
7393,60
7396,42
7397,42
7399,56
7402,42
7411,0
7415,60
7421,42
7423,44
7424,43
7425,60
7427,60
7428,42
7432,48
7435,50
7436,22
7439,43
7443,11
7449,42
7452,60
7453,42
7455,18
7456,56
7460,61
7461,60
7465,44
7466,5
7467,42
7468,22
7469,61
7470,42
7473,60
7476,22
7481,42
7483,61
7486,42
7490,42
7491,61
7500,42
7501,39
7502,60
7507,61
7511,42
